#lambda    flux1    flux2    flux3    flux4
4349.26   0.0197  -0.0005  -0.0157   0.0443
4350.28   0.0202   0.0011  -0.0152   0.0369
4351.29   0.0201   0.0042  -0.0182   0.0145
4352.31   0.0200   0.0071  -0.0203  -0.0076
4353.32   0.0203   0.0081  -0.0178  -0.0057
4354.34   0.0211   0.0080  -0.0137   0.0140
4355.36   0.0218   0.0079  -0.0078   0.0264
4356.37   0.0223   0.0080  -0.0050   0.0323
4357.39   0.0227   0.0088  -0.0021   0.0388
4358.41   0.0228   0.0088  -0.0029   0.0359
4359.43   0.0230   0.0093  -0.0052   0.0253
4360.44   0.0232   0.0105  -0.0056   0.0207
4361.46   0.0234   0.0104  -0.0009   0.0281
4362.48   0.0237   0.0104   0.0031   0.0344
4363.50   0.0238   0.0106   0.0047   0.0353
4364.52   0.0240   0.0115   0.0066   0.0364
4365.54   0.0241   0.0114   0.0079   0.0367
4366.56   0.0241   0.0116   0.0082   0.0323
4367.58   0.0240   0.0130   0.0056   0.0216
4368.60   0.0238   0.0139   0.0018   0.0097
4369.62   0.0238   0.0143   0.0004   0.0033
4370.64   0.0240   0.0138   0.0014   0.0053
4371.66   0.0242   0.0143   0.0057   0.0132
4372.68   0.0244   0.0152   0.0085   0.0207
4373.70   0.0243   0.0155   0.0056   0.0112
4374.72   0.0237   0.0166  -0.0010  -0.0154
4375.74   0.0234   0.0179  -0.0015  -0.0308
4376.76   0.0236   0.0177   0.0035  -0.0157
4377.79   0.0244   0.0156   0.0113   0.0096
4378.81   0.0248   0.0147   0.0170   0.0234
4379.83   0.0249   0.0148   0.0190   0.0266
4380.85   0.0249   0.0149   0.0165   0.0240
4381.88   0.0248   0.0150   0.0140   0.0198
4382.90   0.0243   0.0155   0.0108   0.0084
4383.92   0.0233   0.0179   0.0047  -0.0176
4384.95   0.0228   0.0200   0.0013  -0.0329
4385.97   0.0232   0.0187   0.0034  -0.0279
4386.99   0.0239   0.0169   0.0044  -0.0152
4388.02   0.0243   0.0155   0.0080  -0.0041
